game_id,total_incercari,cuvant_gasit,status,secventa_incercari
1,17,ICONOGRAFĂ,OK,"E, O, T, I, U, N, L, Ă, Î, C, D, P, Â, F, S, B, G"
2,19,FAGOCITUL,OK,"E, R, I, L, U, T, O, Ă, N, Î, Â, S, D, P, M, V, F, B, G"
3,10,APICOLILOR,OK,"E, A, I, U, R, O, T, Ă, N, L"
4,23,HIPOPLAZII,OK,"E, A, R, T, I, L, U, N, Ă, Î, C, P, Â, S, D, M, V, F, B, G, Ț, Ș, Z"
5,11,PROHODI,OK,"E, A, I, R, U, T, Ă, Î, C, D, P"
6,13,CIOPLEA,OK,"E, A, I, U, O, Ă, R, T, Î, Â, N, S, C"
7,22,COVÂRȘITELOR,OK,"E, A, R, O, T, U, Ă, N, Î, S, C, D, P, Â, L, M, F, B, G, H, Ț, Ș"
8,19,PÂRGUIRILE,OK,"E, R, A, O, I, T, L, Ă, Î, C, D, Â, N, S, M, V, F, B, G"
9,20,BURGHIERILE,OK,"A, O, I, U, T, N, L, Ă, Î, Â, S, C, D, P, M, V, F, B, G, H"
10,16,SAMAVOLNICII,OK,"E, A, R, T, L, U, O, N, Ă, Î, C, Â, S, D, P, V"
11,22,CĂȘĂIEȘTE,OK,"A, E, N, I, U, O, S, R, Î, Â, L, C, D, P, M, V, F, B, G, H, Ț, Ș"
12,9,SISALUL,OK,"E, I, U, R, T, O, Ă, N, L"
13,12,CINERARIILE,OK,"E, I, N, L, U, O, Ă, T, Î, Â, S, C"
14,23,DEZAGLOMERĂM,OK,"E, T, N, I, L, U, C, O, S, P, Ă, D, Î, Â, F, B, G, M, V, H, Ț, Ș, Z"
15,13,TETRODĂ,OK,"E, A, O, I, U, T, Î, Â, N, L, S, C, D"
16,24,MÂNJITURII,OK,"E, A, I, T, O, Ă, Î, Â, N, L, S, C, D, P, M, V, F, B, G, H, Ț, Ș, Z, J"
17,13,DESOFISTICĂRII,OK,"A, R, O, I, T, N, L, S, U, C, Ă, Î, D"
18,6,TĂIERI,OK,"E, A, I, U, O, Ă"
19,21,GENTILEȚILOR,OK,"E, A, R, T, N, O, U, S, Ă, Î, C, D, P, Â, M, V, F, B, G, H, Ț"
20,11,NENOROCITUL,OK,"E, A, N, U, T, O, R, Ă, Î, Â, L"
21,8,ÎNAINTĂ,OK,"A, E, U, O, R, N, Î, Ă"
22,15,ISTMICUL,OK,"E, A, I, R, T, O, N, Ă, Î, S, Â, C, D, P, M"
23,21,ASCUȚITUNGHICUL,OK,"E, A, I, R, T, O, Ă, N, L, Î, Â, S, D, P, M, V, F, B, G, H, Ț"
24,18,OBNUBILĂRILOR,OK,"R, E, A, I, U, T, N, L, Î, Â, S, C, D, P, M, V, F, B"
25,18,BUMBĂCELULUI,OK,"E, A, I, U, R, T, O, N, Î, S, Â, L, D, P, M, V, F, B"
26,16,POSTĂVĂRIILE,OK,"E, A, I, U, O, T, N, L, Î, S, Â, C, D, P, M, V"
27,23,CENTROZOMUL,OK,"A, I, U, R, O, T, N, Ă, Î, S, C, Â, D, P, M, V, F, B, G, H, Ț, Ș, Z"
28,18,DEBAVURASE,OK,"E, A, R, T, N, I, L, O, C, Ă, Î, D, Â, P, M, V, F, B"
29,21,VRAMIȚE,OK,"E, A, R, T, N, L, U, O, Ă, Î, S, C, D, P, Â, M, F, B, G, H, Ț"
30,5,RETORI,OK,"A, E, U, R, O"
31,14,EPISTOLARELOR,OK,"A, E, R, O, U, T, N, S, Ă, Î, Â, C, D, P"
32,21,ÎNCHIABUREAȚI,OK,"E, A, R, T, O, I, U, Ă, N, Î, L, Â, S, C, D, P, M, V, F, G, Ț"
33,15,LAMINATOAREA,OK,"A, R, T, I, U, O, N, Ă, Î, Â, S, C, D, P, M"
34,12,PLATINEZ,OK,"A, R, T, I, L, N, U, O, Ă, Î, C, P"
35,21,ȚĂNDĂRELEI,OK,"E, A, O, N, I, U, T, Î, S, C, Ă, L, Â, P, M, V, F, B, G, H, Ț"
36,16,TEVATURI,OK,"E, T, O, I, U, Ă, N, L, Î, S, C, Â, D, P, M, V"
37,21,FIDANȚATA,OK,"E, A, R, L, T, I, U, O, Ă, N, Î, C, Â, S, P, M, V, B, G, H, Ț"
38,27,EXONDĂRILE,OK,"A, I, U, R, O, T, Ă, N, Î, S, Â, C, D, P, M, V, F, B, G, H, Ț, Ș, Z, J, K, W, X"
39,13,DECOMANDATĂ,OK,"E, R, T, I, U, O, N, L, S, C, Ă, Î, D"
40,19,OMAGIALI,OK,"A, E, I, R, T, U, O, Ă, N, Î, Â, S, C, D, P, V, F, B, G"
41,15,STÂLPISEM,OK,"A, R, I, N, U, O, L, S, Ă, T, Î, C, Â, D, M"
42,17,ELFILOR,OK,"A, I, U, O, R, Ă, T, Î, Â, N, S, C, D, P, M, V, F"
43,12,DECONCERTANTELE,OK,"E, R, L, T, N, I, U, O, Ă, Î, S, D"
44,19,GAGICULUI,OK,"R, E, T, A, L, O, N, Ă, Î, C, Â, S, D, P, M, V, F, B, G"
45,15,APELARĂM,OK,"I, E, R, U, O, T, N, Ă, Î, S, C, D, P, Â, M"
46,16,SPERMATOFITELOR,OK,"R, E, A, T, I, U, N, L, C, Ă, Î, S, D, P, Â, M"
47,22,NECREDINCIOȘILOR,OK,"E, A, T, N, I, U, S, Ă, L, Î, C, Â, D, P, M, V, F, B, G, H, Ț, Ș"
48,21,CINSTEȚUL,OK,"E, A, I, U, R, O, N, Ă, Î, Â, L, C, D, P, M, V, F, B, G, H, Ț"
49,21,NEOFORMAȚIUNII,OK,"E, A, T, I, L, U, N, Ă, Î, C, Â, S, D, P, M, V, F, B, G, H, Ț"
50,16,PEGMATITUL,OK,"E, A, R, I, L, T, U, O, Ă, Î, C, Â, N, S, D, M"
51,22,PLUTUIEȘTE,OK,"A, N, I, U, R, O, S, Ă, Î, Â, L, C, P, D, M, V, F, B, G, H, Ț, Ș"
52,23,CINTEZII,OK,"R, A, T, N, U, O, Ă, Î, S, Â, L, C, D, P, M, V, F, B, G, H, Ț, Ș, Z"
53,17,FOLFĂIESC,OK,"R, E, A, U, T, Ă, N, Î, S, Â, L, C, D, P, M, V, F"
54,19,OTORINOLARINGOLOGELOR,OK,"A, E, R, C, O, T, N, U, Ă, Î, S, D, P, Â, M, V, F, B, G"
55,23,ESTETIZANTEI,OK,"R, N, S, T, I, L, U, O, Ă, Î, C, Â, D, P, M, V, F, B, G, H, Ț, Ș, Z"
56,22,BALAOACHEȘĂ,OK,"E, A, R, T, L, N, I, U, O, S, Î, C, D, P, Â, M, V, F, G, H, Ț, Ș"
57,21,NOTĂRIȚĂ,OK,"E, A, I, R, U, T, N, L, Î, Â, S, C, D, P, M, V, F, B, G, H, Ț"
58,21,DULEȚI,OK,"E, A, I, R, U, O, Ă, T, N, Î, S, Â, C, P, M, V, F, B, G, H, Ț"
59,25,RICKETTSIOZEI,OK,"A, R, N, I, L, U, T, O, C, Ă, D, P, Î, Â, M, V, F, B, G, H, Ț, Ș, Z, J, K"
60,9,CIREȘE,OK,"E, A, I, N, L, U, O, Ă, R"
61,23,ZGĂRDAT,OK,"E, A, I, U, O, R, T, Î, Â, N, L, S, C, P, M, V, F, B, G, H, Ț, Ș, Z"
62,21,PREȚIOASELOR,OK,"A, I, R, E, T, N, U, S, Ă, Î, C, D, P, Â, M, V, F, B, G, H, Ț"
63,24,DIMPREJUR,OK,"E, A, O, I, U, T, N, Ă, L, Î, S, C, P, Â, M, V, F, B, G, H, Ț, Ș, Z, J"
64,18,BULBUCAT,OK,"A, E, I, U, R, O, Ă, Î, C, Â, N, S, D, P, M, V, F, B"
65,7,ARIERDUNĂ,OK,"E, A, R, I, U, O, Ă"
66,15,FLACIDEI,OK,"E, A, L, N, U, O, Ă, R, T, P, Î, S, D, Â, F"
67,17,CONVENȚIONALI,OK,"A, E, R, I, N, Î, U, T, O, Ă, S, C, D, P, Â, M, V"
68,13,CUCONIȚĂ,OK,"E, A, I, U, R, T, O, Î, Â, N, L, S, C"
69,12,NELINIȘTITORULUI,OK,"E, A, I, R, T, O, U, Ă, Î, S, Â, L"
70,20,BIHINDISIRILE,OK,"E, A, O, I, N, T, L, U, Ă, Î, Â, S, C, D, P, M, V, F, G, H"
71,15,ÎMPLINIREA,OK,"E, A, I, U, O, C, Ă, R, Î, T, P, Â, S, D, M"
72,19,INSTIGÂND,OK,"E, A, U, T, O, N, Î, Ă, L, R, Â, C, D, P, M, V, F, B, G"
73,7,RECENTE,OK,"E, A, I, U, O, N, T"
74,17,EMBLEMĂ,OK,"A, R, N, I, S, U, O, T, L, Î, C, P, Â, F, B, D, M"
75,13,SINGURAȘUL,OK,"E, A, I, R, O, U, Ă, T, N, Î, Â, L, S"
76,18,SUBSECRETARULUI,OK,"A, R, O, I, U, N, S, Ă, Î, C, Â, L, D, P, M, V, F, B"
77,23,DEVITALIZASERĂM,OK,"A, R, T, N, L, S, I, U, O, C, Î, D, Â, P, M, V, F, B, G, H, Ț, Ș, Z"
78,23,SUBAPRECIEZ,OK,"E, A, T, O, N, U, L, S, C, Ă, Î, D, P, Â, M, V, F, B, G, H, Ț, Ș, Z"
79,12,CLASATULUI,OK,"A, E, I, R, T, U, O, Ă, N, Î, Â, S"
80,17,FARAONICUL,OK,"E, A, I, L, U, T, O, Ă, Î, C, Â, S, D, P, M, V, F"
81,10,ÎNROLĂRILOR,OK,"E, A, I, T, U, C, Ă, N, Î, L"
82,23,PRIMEZIU,OK,"E, A, O, I, T, N, L, S, C, Ă, D, P, Î, Â, M, V, F, B, G, H, Ț, Ș, Z"
83,11,CRUCIATULUI,OK,"E, R, I, U, T, O, Ă, Î, Â, N, L"
84,19,PRODIGATELE,OK,"E, R, A, T, I, N, L, U, Ă, Î, C, Â, S, D, M, V, F, B, G"
85,16,VINA,OK,"E, I, U, O, Ă, R, T, Î, Â, L, S, C, D, P, M, V"
86,16,CIFRARĂM,OK,"E, A, I, U, O, Ă, T, Î, Â, N, L, S, C, D, P, M"
87,16,ÎNFRUNTASEM,OK,"E, A, I, U, R, O, T, Ă, N, Î, C, D, P, Â, L, F"
88,17,VIOȘELI,OK,"E, A, I, R, U, T, Ă, N, Î, S, Â, L, C, D, P, M, V"
89,22,AMUȘISERĂȚI,OK,"E, A, R, I, T, N, L, U, O, Î, S, Â, C, D, P, M, V, F, B, G, H, Ș"
90,17,TELEGRAFIARĂ,OK,"A, T, O, N, I, U, S, L, Ă, Î, C, D, P, Â, F, B, G"
91,13,CITRONADELE,OK,"E, R, O, T, N, I, S, U, Ă, L, Î, Â, C"
92,22,BASCHETBALIȘTILOR,OK,"E, A, T, O, I, L, U, N, C, Ă, Î, D, P, Â, M, V, F, B, G, H, Ț, Ș"
93,13,SEPTICUL,OK,"E, A, I, R, U, T, O, N, Ă, Î, S, Â, C"
94,16,VENENO,OK,"E, A, I, U, Ă, R, T, L, Î, S, C, D, P, Â, M, V"
95,19,GUDRONĂM,OK,"E, A, I, U, R, T, Î, C, D, Â, N, L, S, P, M, V, F, B, G"
96,12,CORDENCIULUI,OK,"E, A, O, I, U, T, N, Ă, L, Î, S, D"
97,22,STROPȘIRE,OK,"E, A, I, U, R, O, Ă, Î, Â, N, L, C, D, P, M, V, F, B, G, H, Ț, Ș"
98,11,FOILETONIST,OK,"R, E, A, N, L, U, O, Ă, T, Î, S"
99,12,PLICISERĂ,OK,"E, A, I, R, U, T, O, N, L, Î, C, P"
100,20,ACHITAT,OK,"E, I, U, R, O, Ă, N, L, Î, Â, S, C, D, P, M, V, F, B, G, H"
